"subjAct" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()"
"1_STANDING" -0.988813008571429 -0.957014625608466 -0.965571916455026 -0.988841341005291 -0.979512538306878 -0.971233060793651 -0.985827867195767 -0.973870485396825 -0.984973852804233 -0.973843191746032 -0.974391352645503 -0.970604478518518 -0.981463797142857 -0.986617941058201 -0.983893894761905 -0.969752373068783 -0.969752373068783 -0.981921772910053 -0.962712226666667 -0.985448469259259 -0.989729796878307 -0.956570754285714 -0.963225227089947 -0.987341835714286 -0.975681706296296 -0.985913706984127 -0.975068647460317 -0.973357174391534 -0.973285196402116 -0.971624562804233 -0.981708097830688 -0.963752363068783 -0.98608729994709 0.277693203068783 -0.0166703891075661 -0.110038926650794 0.917239558941799 -0.282597222063492 -0.062384654110582 0.0755707000529101 0.0100616809608201 -0.0027827495166455 -0.0230451268406878 -0.0704495746620635 0.0818597221216931 -0.101277671365079 -0.0412421563386243 -0.0521201449613228 -0.972411575873016 -0.972411575873016 -0.983301502857143 -0.964807640582011 -0.986056322857143 -0.986922692486772 -0.962098655132275 -0.974103834920635 0.00636570219368254 0.0640565084412698 0.15513072054709 -0.985677335449735 -0.974044708253968 -0.982661371851852 0.239228678360847 -0.0511227578968254 0.0456221825857143 -0.970533265555556 -0.976628173121693 -0.970721338941799 -0.154562213290476 -0.100062770758254 -0.0145871799555556 -0.973723917037037 0.182382743784127 -0.981254622592593 0.338711863523704 -0.970974494497355 -0.0867847081721693 -0.985558754550265 0.219955358414815
"1_SITTING" -0.985508381567568 -0.942605303297297 -0.957013208486487 -0.985323001675676 -0.959748723351351 -0.963049952486487 -0.986066786162162 -0.976099204756757 -0.985671465243243 -0.985494936378378 -0.975544938540541 -0.961029420648649 -0.990341446594595 -0.989336114 -0.985961984162162 -0.952729912648649 -0.952729912648649 -0.982470465837838 -0.958676997945946 -0.988636774324324 -0.985745584648649 -0.941173700108108 -0.954124350702703 -0.986971657189189 -0.977481088162162 -0.986510016216216 -0.986492346972973 -0.973702703837838 -0.963788069405405 -0.955333061405405 -0.981411330594595 -0.95866668 -0.988480013891892 0.27312601872973 -0.0112232907304324 -0.110373127545946 0.892960618702703 0.123046303163243 0.112282283248649 0.0762947647189189 0.00534183736427676 0.0014514120492973 -0.0321104415421946 -0.0749978475524324 0.0760068389243243 -0.0974288174648649 -0.0394566134452649 -0.0505302885227027 -0.964422456108108 -0.964422456108108 -0.984418810756757 -0.952564155243243 -0.990505521243243 -0.985208241513513 -0.952355800324324 -0.968465161027027 0.0133905927394595 0.126750098327027 0.189230177732432 -0.986398236378378 -0.97643063227027 -0.983438002378378 0.221385887601081 -0.0164277178643243 0.0566334876691892 -0.982736247513514 -0.97962046172973 -0.963941946324324 0.122108479366486 -0.0873767169724324 -0.0111386027048649 -0.961723135891892 0.231927040798919 -0.982449367675676 0.295142889440541 -0.970606728702703 0.00916373997621622 -0.989168996972973 0.206676943532216
"1_LAYING" -0.956786392030457 -0.930877868482234 -0.922724101834518 -0.943188906649746 -0.966475140243655 -0.936217071020305 -0.978265287664975 -0.959890387918782 -0.976046270152284 -0.951126715690355 -0.960644624111675 -0.956596322741117 -0.967038966446701 -0.980981894873096 -0.98025512284264 -0.913750539609137 -0.913750539609137 -0.965191847969543 -0.917792808263959 -0.971113658629442 -0.954156794010152 -0.93060494713198 -0.917321669807107 -0.98126676142132 -0.962865153807107 -0.978278638680203 -0.95417993248731 -0.95820936786802 -0.960532850456853 -0.916495492639594 -0.962725127766497 -0.91938405986802 -0.970070830659899 0.261385807401015 -0.023809157387868 -0.107379987461929 -0.181832190040609 0.726034783517767 0.505851925167513 0.0802312535060914 0.00998938175228426 -0.00279941900045685 -0.023688986226802 -0.0803820781639594 0.126536621187817 -0.100870915950254 -0.0382891933299492 -0.0655672676040609 -0.932617042563452 -0.932617042563452 -0.97574461319797 -0.931304220253807 -0.981583930304568 -0.965343777969543 -0.939743740147208 -0.945110250203046 -0.294961049988832 0.136827494292416 0.0995173847014721 -0.977508262639594 -0.959989747918782 -0.972512760456853 0.125517462318782 -0.00454635051116751 0.0349442185818782 -0.942954757153807 -0.966838531522843 -0.957055367918782 -0.0473223331329949 -0.179153138792386 0.152166082514721 -0.936270340482233 0.0726435685634518 -0.966551336751269 0.290078564447716 -0.938300719543147 -0.118101881395381 -0.973545885329949 0.214811474139594
"1_WALKING" -0.184564125448658 0.05064905281578 -0.2330981465758 -0.96054247278 -0.94983021404 -0.93262318548 -0.22893192377892 -0.146511121697986 -0.54667664117812 -0.4862872575674 -0.2741146971267 -0.34604400207144 -0.464933762328 -0.529376569998 -0.5036448522838 -0.1919522687574 -0.1919522687574 -0.21782116888368 -0.3282454578214 -0.551950651972 -0.178206675942 0.01582837252634 -0.2308712115672 -0.25653317516454 -0.14897087050136 -0.58002741289768 -0.518918830178 -0.2460226873964 -0.4205527933002 -0.3365836225994 -0.248240015497 -0.4087000651112 -0.592274131468 0.276597598706 -0.0193683526923 -0.1077188867672 0.90011361476 -0.3100048564 -0.0521890969182 0.0846533404658 0.00958770852624 -0.0175555667852 -0.04170388736646 -0.0759054350486 0.076384908607549 -0.08628247914946 -0.0482042515669 -0.04239153756624 -0.07220004029956 -0.07220004029956 -0.261833561106 -0.2091033620668 -0.499599643774 -0.208629807444 -0.016164980806 -0.3665035350678 -0.3467261876796 -0.0312125059965 -0.055145793879366 -0.26941975476322 -0.197803016612882 -0.5119665439892 -0.2971499024688 -0.4075563173672 -0.2736756270254 -0.3928692463236 -0.3487061420106 -0.3103956121854 -0.1336787636468 -0.188859261294 -0.13274109543822 -0.1632037142568 0.064713542781246 -0.20046314559716 0.08676379076146 -0.3878449214944 0.04695927006892 -0.5470039103174 0.13549763998898
"1_WALKING_DOWNSTAIRS" 0.12942993109765 0.108947437825 -0.21019311865 -0.948522021142857 -0.934494487642857 -0.912308112857143 -0.0310192307035714 -0.102814846494286 -0.390574881850429 -0.425338282026429 -0.320864686942857 -0.260869563127857 -0.522712584285714 -0.450735121778571 -0.389644498227857 0.108609568923571 0.108609568923571 -0.0201490230028571 -0.315353578112143 -0.493617409507143 0.153445507592857 0.0584199736514286 -0.26545690244 -0.0872941962347857 -0.126336573725 -0.441496917420286 -0.455082179778571 -0.346428786101429 -0.358861590214286 -0.0849066020692857 -0.0731625878085714 -0.420192511397143 -0.555597473528571 0.293927376085714 -0.0148902535658571 -0.105696857511429 0.916092324857143 -0.273778671428571 -0.0386352990435714 0.0774080307571429 0.0117881436714286 -0.015275482355 -0.0939960895910714 -0.0352502289764286 0.0981981548446429 -0.0564949579830714 -0.0561468866671429 -0.04706604285 0.129988749773 0.129988749773 -0.122217836398571 -0.150944335107857 -0.445875557314286 0.0584764290928571 0.0668978201047143 -0.227768547670714 -0.379652960140714 -0.0435686657807143 0.147289941016357 -0.0614096709171429 -0.137839438695 -0.338403559247143 -0.2927908261 -0.406674589931429 -0.174923622652857 -0.345981917184286 -0.292347946171429 -0.177576405733571 -0.192919270952857 -0.0396770920064286 -0.102536724818714 0.140577658967143 0.0558835857362857 0.0132978163948571 0.0412807482955 -0.345512655796429 0.108616837486429 -0.476043511069286 0.134554221106357
"1_WALKING_UPSTAIRS" -0.279304379116883 -0.00346758505779221 -0.145068960116234 -0.950631864025974 -0.939403277142857 -0.916676389090909 -0.442033127597403 -0.342323618688312 -0.690099432662338 -0.525648177012987 -0.238832869796753 -0.402343423881948 -0.618204178831169 -0.675394829415584 -0.653363465 -0.298374847987013 -0.298374847987013 -0.46019111511039 -0.311915899642857 -0.701799819415584 -0.250876374409091 0.00158873501818182 -0.0796163268564935 -0.460951736428571 -0.36445698512987 -0.715810075324675 -0.547530059545455 -0.147747174507143 -0.448710129935714 -0.398214925909091 -0.509383676103896 -0.344184601753247 -0.741139920454545 0.261347464616883 -0.0261136169955195 -0.109211209558442 0.85886200961039 -0.377050871883117 -0.0690628589220779 0.100601274407143 -0.00271406234727273 -0.0319822249753247 0.00771956568616883 -0.12456286130974 0.0407892183242208 -0.108747935655195 -0.043775905926948 -0.0322862894761039 -0.115944182442208 -0.115944182442208 -0.447595195584416 -0.184621976346104 -0.646667318311688 -0.36116139137013 -0.148253855096753 -0.440792964285714 -0.455587006924675 -0.150988349976623 -0.391246996287013 -0.472369651753247 -0.364531778058442 -0.662937666818182 -0.368228674597403 -0.428116430235065 -0.479681194071429 -0.471379655649351 -0.450062889350649 -0.440219249396104 -0.194658890801948 -0.416928052421429 -0.220192727647403 -0.317826751038961 -0.0727564077253247 -0.427704921480519 0.0858424009850649 -0.450154049103896 -0.213643345042597 -0.68947753038961 0.10823173704026
"3_STANDING" -0.981011514677419 -0.934364044516129 -0.935194034408602 -0.98609676983871 -0.972728186129032 -0.950035409301075 -0.975974123655914 -0.964983820591398 -0.977504882849462 -0.932542321397849 -0.948668438387097 -0.949368784032258 -0.964075892634409 -0.973769451075269 -0.976169205860215 -0.944854372258065 -0.944854372258065 -0.968432778010753 -0.916621915483871 -0.968731576451613 -0.982634881451613 -0.933196927795699 -0.930747870322581 -0.97779316844086 -0.966957546397849 -0.979593761505376 -0.933001476021505 -0.946242777849462 -0.953111642956989 -0.948963438225806 -0.967955260215054 -0.917997140483871 -0.969165747204301 0.278560332580645 -0.0163355649301075 -0.108121495377054 0.931832225645161 -0.215408036287097 -0.0897207176868817 0.0753015824510215 0.00873620014231183 -0.00479817087071505 -0.0291130593326344 -0.066117162280914 0.0778752946021505 -0.0985698228655914 -0.0433826586908602 -0.0502387166575269 -0.951187505268817 -0.951187505268817 -0.974810735698925 -0.92917611016129 -0.974006419784946 -0.977696007634409 -0.943830833010753 -0.953241433870968 -0.0200521766741935 -0.050419569896828 0.0285004436714516 -0.976388393387097 -0.965576832150538 -0.974063723548387 0.171056796202151 -0.131454504124032 -0.0402270809909677 -0.935304904139785 -0.95400830827957 -0.952940294462366 -0.280982099696774 -0.228268793327957 -0.155090436386608 -0.952229020430107 0.0509467439203763 -0.968049837096774 0.229784275918817 -0.938404226397849 -0.18191344974086 -0.969984978225806 0.0940896909366129
"3_SITTING" -0.983062799230769 -0.912006080473373 -0.90579223208284 -0.975248197869823 -0.940607583372781 -0.917923855976331 -0.983852324852071 -0.972337630946746 -0.97894654147929 -0.977359235443787 -0.956258223846154 -0.951552096153846 -0.983854284319527 -0.983286554378698 -0.984207954142012 -0.911905570946746 -0.911905570946746 -0.975869366745562 -0.941280739633136 -0.982005602485207 -0.983503560887574 -0.906656177177515 -0.897376020331361 -0.985245591775148 -0.97429531739645 -0.980792716508876 -0.97887147739645 -0.952478442366864 -0.954474647988166 -0.914264363668639 -0.975111363017751 -0.942028463301775 -0.981630515857988 0.268664241094675 -0.00817142700059172 -0.100228882201775 0.922443933905325 0.11766607007568 0.0901001229331361 0.0751532934295858 0.00459086405276923 -0.00863957120828402 -0.0411691030840237 -0.0768586636627219 0.0787809906813609 -0.0986156789112426 -0.0404900974739645 -0.0512084440092899 -0.933042984556213 -0.933042984556213 -0.980349866804734 -0.935507514497041 -0.985659562781065 -0.982454526390533 -0.936322678106509 -0.938736459005917 0.0254064940995266 0.0576544726798817 0.0932585422189349 -0.983953313846154 -0.97243728816568 -0.97575382964497 0.25791901660355 -0.0477203859136095 0.0262476931004142 -0.972878841360947 -0.964496750769231 -0.956913200591716 0.0735225959881657 -0.115119167371598 0.0473791491866864 -0.936229624869823 0.11761009296568 -0.975713374792899 0.273096724694556 -0.956640091893491 0.0171585949704142 -0.983037013076923 0.103635283897633
"3_LAYING" -0.968826087346939 -0.963778817346939 -0.962986232397959 -0.962022100663265 -0.98012532377551 -0.967651115 -0.984329115255102 -0.979640543826531 -0.983346567244898 -0.976468819693878 -0.966023714234694 -0.972221067142857 -0.982395282040816 -0.981566751581633 -0.989633246377551 -0.956739206887755 -0.956739206887755 -0.981249971785714 -0.952326871887755 -0.979930238163265 -0.966907981785714 -0.962583819132653 -0.96106606005102 -0.986107094081633 -0.981279884846939 -0.984356255153061 -0.977636506785714 -0.963532432908163 -0.974695085867347 -0.958734619081633 -0.98029886505102 -0.953813809183673 -0.979116689642857 0.275353039770408 -0.0204170808979592 -0.103345372956122 -0.269931325311224 0.633469906020408 0.681545052040816 0.0791933863214286 0.0158086617356633 -0.00681234135433929 -0.0138304772847857 -0.091884228375 0.121726774107143 -0.101338566061224 -0.0392256936295918 -0.0651133482142857 -0.965297077857143 -0.965297077857143 -0.984141765 -0.9484791 -0.985520671632653 -0.974879581581633 -0.970326822397959 -0.9710612975 -0.262394726193878 0.110356024714515 0.20244659922398 -0.984086400153061 -0.979584023418367 -0.980924324081633 0.185107269943367 0.0527004802883163 0.117186367277398 -0.973437675 -0.971585312857143 -0.972531950561225 -0.0099596240002551 -0.0760207011647959 0.199293000698878 -0.964446395357143 0.113949948680612 -0.981126824897959 0.294812501471429 -0.963009543418367 0.0462646894219388 -0.981446814081633 0.135217838791837
"3_WALKING" -0.224984645506748 0.0172594596789571 -0.136498398469734 -0.95669861198364 -0.93895351194274 -0.918404965092025 -0.227261298513292 -0.144664103946789 -0.396734252115767 -0.456870409424744 -0.265989795208589 -0.309114851111861 -0.413196868664622 -0.380165379238241 -0.44997343200818 -0.183886451398119 -0.183886451398119 -0.157940953819366 -0.252167099568098 -0.372573222332393 -0.230974176898569 -0.0276106807504908 -0.17084318214544 -0.268575160316387 -0.153048102632632 -0.434754460382004 -0.500579724587935 -0.275055705584867 -0.389230694933129 -0.345951593106953 -0.18799943221773 -0.377462252094479 -0.406491735788753 0.274051045547239 -0.0219359836040695 -0.113045429752761 0.907180120368098 -0.247830236848671 -0.167568561658671 0.0749289677883742 0.0166869573696524 -0.00162954193290388 -0.0408999265241309 -0.0673800143474029 0.0777483324493251 -0.0894403592715746 -0.0442086145648262 -0.0597200727697546 -0.0878332130378119 -0.0878332130378119 -0.213691694687935 -0.194248591109652 -0.391486170841513 -0.217104148601636 -0.0256265034420041 -0.205702495283845 -0.337716456818405 -0.0184653658278732 -0.0200583805528221 -0.255700185786708 -0.191907279048037 -0.358808099377914 -0.264630980746421 -0.374026316900409 -0.342041124162802 -0.327249799896115 -0.266345136030675 -0.26955442513047 -0.0805405184981595 -0.0588421418740286 -0.080538400802863 -0.128428544053783 0.0925886506969325 -0.141969525361145 0.0547444632513292 -0.269205050297546 0.145277599631454 -0.383346025963804 0.149983512397955
